[15:26:18] [main/ERROR]: Can't find the resource index file: C:\Users\Tobias\.gradle\caches\minecraft\assets\indexes\{ASSET_INDEX}.json
[15:26:34] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:34] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:35] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:35] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:35] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:35] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:random.door_close
[15:26:35] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.gravel
[15:26:35] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:random.door_close
[15:26:35] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:35] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.small
[15:26:35] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:35] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:35] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:35] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:35] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:35] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:36] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:music.game.creative
[15:26:36] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:random.door_open
[15:26:36] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:36] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:36] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:random.door_open
[15:26:36] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:36] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:36] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:36] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:36] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:36] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:36] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:36] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.small
[15:26:37] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:37] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:37] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:37] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:37] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:37] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:37] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:37] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:37] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:37] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:37] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:38] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.gravel
[15:26:38] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:38] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:38] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:38] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:38] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:38] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:38] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:39] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:39] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:39] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:39] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:39] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:39] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:39] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:39] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:random.door_close
[15:26:39] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:39] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:39] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:39] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:40] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:40] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:40] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:40] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:40] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:random.door_close
[15:26:40] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:40] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:40] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:40] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:41] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:41] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:41] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:41] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:41] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:41] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:41] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:41] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:42] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:42] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:42] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:42] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:42] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:42] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:42] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:42] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:43] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:43] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:43] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:43] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:43] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:43] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:43] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:random.door_close
[15:26:43] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:43] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:43] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:43] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:44] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:44] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:44] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:random.door_open
[15:26:44] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:44] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:44] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:44] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:45] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:45] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:45] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:45] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:45] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:45] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.gravel
[15:26:45] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:45] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:46] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:46] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:46] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:46] [Server thread/INFO]: [ForgeDevName: Given [item.dimensionstorage:WirelessMatterCombiner.name] * 1 to ForgeDevName]
[15:26:46] [Client thread/INFO]: [CHAT] Given [item.dimensionstorage:WirelessMatterCombiner.name] * 1 to ForgeDevName
[15:26:46] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:random.pop
[15:26:46] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:46] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:46] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:46] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:46] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:47] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:47] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:47] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:47] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:47] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:47] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:47] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:48] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:48] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:48] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:48] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:48] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:48] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:48] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:48] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:48] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.gravel
[15:26:48] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:48] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:random.pop
[15:26:48] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:49] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:49] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:49] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:49] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:49] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:49] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:49] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:49] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:49] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:49] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:49] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:49] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:49] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:50] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:50] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:50] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:50] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:50] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:50] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:51] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:51] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:51] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.gravel
[15:26:51] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:51] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:51] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:51] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:51] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:51] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:51] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:51] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:51] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:51] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:52] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:52] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:52] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:52] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:52] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:52] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:52] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:52] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:52] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:53] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.gravel
[15:26:53] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:53] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:53] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:53] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:53] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:53] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:53] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:53] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:53] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:53] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:53] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:53] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:54] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:54] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:54] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:54] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:54] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:54] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:54] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:54] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:55] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:55] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:55] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:55] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:55] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:55] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:55] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:55] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:55] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:55] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:55] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:55] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:56] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:56] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:56] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:56] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:56] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:56] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:56] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:56] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:56] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:56] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:56] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:56] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:57] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:57] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:57] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.gravel
[15:26:57] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:57] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:57] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:57] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:57] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:57] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:57] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:58] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:58] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:58] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:58] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:58] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:58] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:58] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:58] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:58] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:58] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:59] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:59] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:59] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:27:00] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:27:00] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:27:00] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:27:00] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:27:00] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:27:00] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:27:00] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:27:00] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:27:00] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:27:00] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.gravel
[15:27:00] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:27:00] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
